codigo_cnuc;unidade_de_conservacao;categoria_uc_sigla_federal;gerencia_regional_icmbio;coordenacao_regional_icmbio;unidades_da_federacao;bioma_referencial;programa_monitora;projetos_especiais;subprograma_terrestre;componente_florestal_alvo_global;componente_florestal_alvo_complementar;componente_campestre_savanico;florestal_ea_01_alvo_global_mamiferos_aves;florestal_ea_02_alvo_global_mamiferos_aves;florestal_ea_03_alvo_global_mamiferos_aves;florestal_ea_01_alvo_global_borboletas;florestal_ea_02_alvo_global_borboletas;florestal_ea_03_alvo_global_borboletas;florestal_ea_01_alvo_global_plantas_arboreas;florestal_ea_02_alvo_global_plantas_arboreas;florestal_ea_03_alvo_global_plantas_arboreas;florestal_alvo_complementar_castanha_da_amazonia;florestal_alvo_complementar_especies_cinegeticas;florestal_alvo_complementar_mamiferos_aves;campestre_savanico_alvo_global_plantas;subprograma_aquatico_continental;componente_igarape;componente_area_alagavel_alvo_global;componente_area_alagavel_alvo_complementar;igarape_alvo_global_odonatas;igarape_alvo_global_peixes;igarape_alvo_global_habitat;area_alagavel_alvo_global_pesca;area_alagavel_alvo_complementar_quelonios;area_alagavel_alvo_complementar_pirarucu;subprograma_marinho_costeiro;componente_manguezal;componente_ambiente_recifal;componente_praia;componente_ilha;alvo_transversal_pesca_biodiversidade_associada;manguezal_alvo_global_caranguejo_uca;manguezal_alvo_global_vegetacao_de_mangue;ambiente_recifal_alvo_global_peixes_invertebrados_substrato;praia_alvo_global_aves_limicolas;praia_alvo_global_mamiferos_marinhos;ilha_alvo_global_aves_marinhas;praia_alvo_global_tartarugas
1;apa anhatomirim;apa;gr 5;gr 5;sc;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1521;apa bacia do rio paraiba do sul;apa;gr 4;cr - lagoa santa;mg/rj/sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;apa barra do rio mamanguape;apa;gr 2;cr - parnaiba;pb;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;apa carste da lagoa santa;apa;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;apa cavernas do peruacu;apa;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;apa chapada do araripe;apa;gr 2;cr - parnaiba;pi/ce/pe;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;apa costa das algas;apa;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;apa costa dos corais;apa;gr 2;cr - parnaiba;pe/al;marinho-costeiro;operacao;gef mar;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;apa da bacia do rio descoberto;apa;gr 4;cr - lagoa santa;go/df;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;apa da bacia do rio sao bartolomeu;apa;gr 4;gestao transferida ao ibram;df;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;apa da bacia do rio sao joao - mico-leao-dourado;apa;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;apa da baleia franca;apa;gr 5;gr 5;sc;marinho-costeiro;parada;gef mar;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;apa das ilhas e varzeas do rio parana;apa;gr 5;gr 5;sp/pr/ms;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;apa das nascentes do rio vermelho;apa;gr 4;cr - lagoa santa;ba/go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;apa de cairucu;apa;gr 4;cr - lagoa santa;rj/sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;apa de cananeia-iguape-peruibe;apa;gr 4;cr - lagoa santa;sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;apa de fernando de noronha rocas sao pedro e sao paulo;apa;gr 2;cr - parnaiba;pe;marinho-costeiro;operacao;gef mar;operacao;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico e avancado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;apa de guapi-mirim;apa;gr 4;cr - lagoa santa;rj;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;apa de guaraquecaba;apa;gr 5;gr 5;sp/pr;mata atlantica;operacao;operacao;operacao;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;apa da regiao serrana de petropolis;apa;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;apa de piacabucu;apa;gr 2;cr - parnaiba;al;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;apa delta do parnaiba;apa;gr 2;cr - parnaiba;ma/pi/ce;marinho-costeiro;gef mar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;apa do igarape gelado;apa;gr 1;cr - belem;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;apa do planalto central;apa;gr 4;cr - lagoa santa;go/df;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;apa do tapajos;apa;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3407;apa dos campos de manicore;apa;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;apa ibirapuita;apa;gr 5;gr 5;rs;pampas;parada;gef terrestre;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;apa meandros do araguaia;apa;gr 3;gr;mt/go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;apa morro da pedreira;apa;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;apa serra da ibiapaba;apa;gr 2;cr - parnaiba;pi/ce;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;apa serra da mantiqueira;apa;gr 4;cr - lagoa santa;mg/rj/sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1683;apa serra da meruoca;apa;gr 2;cr - parnaiba;ce;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;apa serra da tabatinga;apa;gr 2;cr - parnaiba;ma/pi;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;arie buriti de vassununga;arie;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;arie capetinga-taquara;arie;gr 4;cr - lagoa santa;df;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;arie cerrado pe-de-gigante;arie;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;arie floresta da cicuta;arie;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;arie ilha do ameixal;arie;gr 4;cr - lagoa santa;sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;arie ilhas da queimada pequena e queimada grande;arie;gr 4;cr - lagoa santa;sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;arie javari-buriti;arie;gr 1;cr - manaus;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;arie manguezais da foz do rio mamanguape;arie;gr 2;cr - parnaiba;pb;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;arie mata de santa genebra;arie;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;arie matao de cosmopolis;arie;gr 4;cr - lagoa santa;sp;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;arie projeto dinamica biologica de fragmentos florestais;arie;gr 1;cr - manaus;am;amazonia;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;arie seringal nova esperanca;arie;gr 1;cr - porto velho;ac;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;arie serra da abelha e rio da prata;arie;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3131;esec alto maues;esec;gr 1;cr - manaus;am;amazonia;operacao;arpa;operacao;operacao;operacao basico e avancado;operacao basico e avancado;parada;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;esec da guanabara;esec;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;esec da mata preta;esec;gr 5;gr 5;pr/sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;esec da serra das araras;esec;gr 3;gr;mt;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;esec da terra do meio;esec;gr 1;cr - oeste do para;pa;amazonia;operacao;arpa;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;esec de aiuaba;esec;gr 2;cr - parnaiba;ce;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;esec de aracuri-esmeralda;esec;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;esec de carijos;esec;gr 5;gr 5;sc;mata atlantica;operacao;operacao;operacao;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;esec de cunia;esec;gr 1;cr - porto velho;ro/am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;esec de guaraquecaba;esec;gr 5;gr 5;pr;mata atlantica;operacao;operacao;operacao;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;esec de jutai-solimaes;esec;gr 1;cr - manaus;am;amazonia;implantacao;arpa;implantacao;implantacao;implantacao;implantacao;implantacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;esec de maraca;esec;gr 1;cr - manaus;rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;parada;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;parada;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;
58;esec de maraca jipioca;esec;gr 1;cr - manaus;ap;amazonia;operacao;arpa;operacao;operacao;operacao;operacao basico;operacao basico;operacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;esec de murici;esec;gr 2;cr - parnaiba;al;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;esec de pirapitinga;esec;gr 4;cr - lagoa santa;mg;cerrado;operacao;operacao;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;esec de taiama;esec;gr 3;gr;mt;pantanal;parada;gef terrestre;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;esec de tamoios;esec;gr 4;cr - lagoa santa;rj;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;esec de urucui-una;esec;gr 2;cr - parnaiba;pi;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;esec do castanhao;esec;gr 2;cr - parnaiba;ce;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;esec do jari;esec;gr 1;cr - belem;pa/ap;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;esec do serido;esec;gr 2;cr - parnaiba;rn;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;esec do taim;esec;gr 5;gr 5;rs;pampas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;esec dos tupiniquins;esec;gr 4;cr - lagoa santa;sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;esec juami-japura;esec;gr 1;cr - manaus;am;amazonia;arpa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;esec mico-leao-preto;esec;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;esec niquia;esec;gr 1;cr - manaus;rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;esec raso da catarina;esec;gr 2;cr - parnaiba;ba;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;esec rio acre;esec;gr 1;gr 1;ac;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;esec serra geral do tocantins;esec;gr 3;gr 3;ba/to;cerrado;parada;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;esec tupinambas;esec;gr 4;cr - lagoa santa;sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;flona da mata grande;flona;gr 4;cr - lagoa santa;go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;flona da restinga de cabedelo;flona;gr 2;cr - parnaiba;pb;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;flona de acu;flona;gr 2;cr - parnaiba;rn;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;flona de altamira;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;flona de anaua;flona;gr 1;cr - manaus;rr;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;flona de assungui;flona;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;flona de balata-tufari;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;flona de brasilia;flona;gr 3;gr 3;go/df;cerrado;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;flona de cacador;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;flona de canela;flona;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;flona de capao bonito;flona;gr 4;cr - lagoa santa;sp;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;flona de carajas;flona;gr 1;gr 1;pa;amazonia;operacao;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;flona de caxiuana;flona;gr 1;gr 1;pa;amazonia;operacao;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;flona de chapeco;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;flona de contendas do sincora;flona;gr 2;gr 2;ba;caatinga;operacao;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;flona de cristopolis;flona;gr 2;cr - parnaiba;ba;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;flona de goytacazes;flona;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;flona de humaita;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;flona de ibirama;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;flona de ipanema;flona;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;flona de irati;flona;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;flona de itaituba i;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;flona de itaituba ii;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;flona de jacunda;flona;gr 1;cr - porto velho;ro;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;flona de lorena;flona;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;flona de mulata;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1605;flona de negreiros;flona;gr 2;cr - parnaiba;pe;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;flona de nisia floresta;flona;gr 2;cr - parnaiba;rn;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;flona de pacotuba;flona;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;flona de palmares;flona;gr 2;cr - parnaiba;pi;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;flona de paraopeba;flona;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;flona de passa quatro;flona;gr 4;cr - lagoa santa;mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;flona de passo fundo;flona;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;flona de pau-rosa;flona;gr 1;cr - manaus;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;flona de pirai do sul;flona;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;flona de ritapolis;flona;gr 4;cr - lagoa santa;mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;flona de roraima;flona;gr 1;cr - manaus;am/rr;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;flona de santa rosa do purus;flona;gr 1;cr - porto velho;ac;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;flona de sao francisco;flona;gr 1;cr - porto velho;ac;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;flona de sao francisco de paula;flona;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;flona de silvania;flona;gr 4;cr - lagoa santa;go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;flona de sobral;flona;gr 2;cr - parnaiba;ce;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;flona de tefe;flona;gr 1;cr - manaus;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;flona de tres barras;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3408;flona de urupadi;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
